"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Akap8l",0.000178875860191601,0.931777293757829,0.386,0.295,1,"MOL_1","Akap8l"
"Srgap1",0.000181774894018445,0.705174471066909,0.298,0.226,1,"MOL_1","Srgap1"
"Hcn2",0.000182630750700966,0.628618071152538,0.654,0.559,1,"MOL_1","Hcn2"
"Grm7",0.000218471263538756,0.944077207153476,0.297,0.236,1,"MOL_1","Grm7"
"Tnfaip6",0.000222630633379966,0.580557260995045,0.604,0.559,1,"MOL_1","Tnfaip6"
"Dus3l",0.000235597101875542,0.577769348838465,0.348,0.301,1,"MOL_1","Dus3l"
"Dnm3",0.000274210881418143,0.412824361633537,0.689,0.654,1,"MOL_1","Dnm3"
"Nxf1",0.000274348184449109,0.511807182412678,0.452,0.411,1,"MOL_1","Nxf1"
"Slc6a9",0.000280493563269168,0.470469493729075,0.751,0.717,1,"MOL_1","Slc6a9"
"Zdhhc17",0.000319184929896966,0.308519273311078,0.532,0.53,1,"MOL_1","Zdhhc17"
"Daam1",0.000332835028197865,0.483447005588718,0.885,0.858,1,"MOL_1","Daam1"
"Tra2a",0.000344897687398638,0.819859787083749,0.473,0.379,1,"MOL_1","Tra2a"
"Tial1",0.000351765690112792,0.57653168135398,0.598,0.549,1,"MOL_1","Tial1"
"Dmpk",0.000379120676607616,1.28247094482643,0.256,0.161,1,"MOL_1","Dmpk"
"Plod1",0.000381807109884707,0.564537982995582,0.436,0.391,1,"MOL_1","Plod1"
"Nktr",0.000383699099425135,0.869218132964596,0.36,0.28,1,"MOL_1","Nktr"
"Ganab",0.000409738521341255,0.729763086691427,0.462,0.382,1,"MOL_1","Ganab"
"Sgk1",0.000426134764140907,0.366781888764001,0.701,0.662,1,"MOL_1","Sgk1"
"Tpp1",0.000437518332235391,0.598420694845477,0.449,0.383,1,"MOL_1","Tpp1"
"Sema6d",0.000444630377104237,0.541785450070955,0.766,0.683,1,"MOL_1","Sema6d"
"Pim3",0.00045997181466432,0.440333153009518,0.681,0.646,1,"MOL_1","Pim3"
"Glg1",0.00049219126956748,0.380398559284439,0.601,0.577,1,"MOL_1","Glg1"
"S1pr5",0.000494397446979608,0.353294376127453,0.676,0.667,1,"MOL_1","S1pr5"
"Plxnb1",0.000497082155310888,0.735236839552033,0.506,0.435,1,"MOL_1","Plxnb1"
"Pcf11",0.00053379742702296,0.538276637483517,0.376,0.333,1,"MOL_1","Pcf11"
"Gtf3c2",0.000539273786895464,0.656183518793518,0.43,0.376,1,"MOL_1","Gtf3c2"
"Srsf1",0.000562154735123386,0.697473502011368,0.402,0.342,1,"MOL_1","Srsf1"
"Dusp11",0.000562428683466673,0.748012050410985,0.646,0.555,1,"MOL_1","Dusp11"
"Cdh19",0.00056309252466435,0.461157141548711,0.437,0.423,1,"MOL_1","Cdh19"
"Klf7",0.000568089616701256,0.5481851722483,0.327,0.299,1,"MOL_1","Klf7"
"Ogt",0.000574367878484643,0.678687421800846,0.581,0.529,1,"MOL_1","Ogt"
"Ttyh1",0.000626320794625891,0.393264450211538,0.564,0.49,1,"MOL_1","Ttyh1"
"Baz2b",0.000668667808462065,0.679828263595585,0.404,0.343,1,"MOL_1","Baz2b"
"Tnrc6a",0.000683141414612617,0.53679133174957,0.419,0.37,1,"MOL_1","Tnrc6a"
"Pkd2",0.000705178046390994,0.897209836414024,0.265,0.192,1,"MOL_1","Pkd2"
"Utp14b",0.000714377285854905,0.975494863438192,0.339,0.261,1,"MOL_1","Utp14b"
"Nectin1",0.000757309441975668,0.407619657732456,0.518,0.485,1,"MOL_1","Nectin1"
"Kidins220",0.000788173251131694,0.401279929646662,0.576,0.555,1,"MOL_1","Kidins220"
"Ctsa",0.000824945938721147,0.435554163344321,0.663,0.636,1,"MOL_1","Ctsa"
"Slc2a1",0.000855133465831442,0.537745806586569,0.566,0.51,1,"MOL_1","Slc2a1"
"Tmem245",0.000876484597949646,0.577126547099321,0.349,0.312,1,"MOL_1","Tmem245"
"Sned1",0.000887405769649156,1.03537215589273,0.379,0.281,1,"MOL_1","Sned1"
"Usp54",0.000950972904690342,0.337443791422166,0.896,0.893,1,"MOL_1","Usp54"
"Ankrd28",0.000998658125848573,0.492595309105713,0.771,0.735,1,"MOL_1","Ankrd28"
"Atrn",0.00100003340458874,0.478093501919645,0.636,0.598,1,"MOL_1","Atrn"
"Dync1h1",0.00104891040207629,0.27326000946164,0.848,0.855,1,"MOL_1","Dync1h1"
"Hook3",0.00106472082439353,0.554299360435081,0.64,0.578,1,"MOL_1","Hook3"
"Rsrp1",0.00108034939162609,0.338794790333969,0.857,0.852,1,"MOL_1","Rsrp1"
"Os9",0.00108557244874504,0.638096384612604,0.381,0.317,1,"MOL_1","Os9"
"Atp6ap1",0.00111937847316761,0.417609135215027,0.777,0.757,1,"MOL_1","Atp6ap1"
"Iffo1",0.00112112580998042,0.728427681726794,0.389,0.344,1,"MOL_1","Iffo1"
"Exoc4",0.00113960379360895,0.580062438465784,0.411,0.368,1,"MOL_1","Exoc4"
"Tnrc6b",0.00114082503365378,0.567825442778399,0.404,0.364,1,"MOL_1","Tnrc6b"
"Ptprk",0.00115259194005746,0.665999338074105,0.488,0.412,1,"MOL_1","Ptprk"
"Kansl1",0.00120783065444868,0.496478937057862,0.42,0.387,1,"MOL_1","Kansl1"
"Bicd2",0.00121348586647485,0.594362179123611,0.606,0.56,1,"MOL_1","Bicd2"
"Kcnj10",0.00121586987108383,0.314718464704572,0.861,0.874,1,"MOL_1","Kcnj10"
"Neo1",0.00126558788731094,0.422967685105421,0.625,0.601,1,"MOL_1","Neo1"
"Mpzl1",0.00134521418729294,0.534356098953868,0.587,0.544,1,"MOL_1","Mpzl1"
"Rbm17",0.00137564194731809,0.516506363305726,0.464,0.441,1,"MOL_1","Rbm17"
"Tmem132b",0.00138207548582655,0.602803540736114,0.263,0.224,1,"MOL_1","Tmem132b"
"Synj2",0.00138459684378241,0.508027750642556,0.625,0.587,1,"MOL_1","Synj2"
"Mast3",0.00151356434702233,0.419289447870976,0.81,0.784,1,"MOL_1","Mast3"
"Shtn1",0.00153846876633543,0.387677428671502,0.709,0.702,1,"MOL_1","Shtn1"
"Phlda1",0.00166989672802877,1.41985402119503,0.277,0.168,1,"MOL_1","Phlda1"
"Cyp51",0.00178814467437246,0.483287725452125,0.351,0.324,1,"MOL_1","Cyp51"
"Ralgps1",0.00182711173629636,0.556325241819749,0.515,0.479,1,"MOL_1","Ralgps1"
"Kmt2d",0.00182893824860131,0.456880673168947,0.433,0.41,1,"MOL_1","Kmt2d"
"Zswim8",0.00201836795762991,0.542773169200352,0.357,0.321,1,"MOL_1","Zswim8"
"Jund",0.00211205550937434,0.272130330636712,0.872,0.916,1,"MOL_1","Jund"
"Atp2a2",0.00224340775795191,0.409952297964332,0.735,0.702,1,"MOL_1","Atp2a2"
"Nrbp2",0.0022492578297032,0.378657754197938,0.925,0.913,1,"MOL_1","Nrbp2"
"Akap8",0.0022930125149023,0.674719819665402,0.42,0.355,1,"MOL_1","Akap8"
"Baz1b",0.00234772796014912,0.541410187116083,0.302,0.268,1,"MOL_1","Baz1b"
"Folh1",0.00241087498440603,0.55045711054271,0.459,0.413,1,"MOL_1","Folh1"
"Pdcd6ip",0.00242532417287138,0.5454103177777,0.551,0.515,1,"MOL_1","Pdcd6ip"
"Rasal1",0.00245898045091409,0.695499055710349,0.399,0.306,1,"MOL_1","Rasal1"
"Tjap1",0.00259284696574894,0.570049234763377,0.438,0.402,1,"MOL_1","Tjap1"
"Klc1",0.00262751062737741,0.560144969750695,0.577,0.527,1,"MOL_1","Klc1"
"Erf",0.00276413263186502,0.403151666197467,0.446,0.437,1,"MOL_1","Erf"
"Plk3",0.00286820678546589,0.638180811608043,0.286,0.242,1,"MOL_1","Plk3"
"P4ha1",0.00288421603870279,0.721829751088355,0.265,0.216,1,"MOL_1","P4ha1"
"Hhip",0.00299394158484901,0.442511423077463,0.588,0.551,1,"MOL_1","Hhip"
